DATE,LIOR3MUKM
1980-01-01,17.16
1980-02-01,17.77
1980-03-01,18.11
1980-04-01,17.64
1980-05-01,17.04
1980-06-01,16.77
1980-07-01,15.88
1980-08-01,16.53
1980-09-01,16.00
1980-10-01,15.98
1980-11-01,15.84
1980-12-01,14.73
1981-01-01,14.28
1981-02-01,13.04
1981-03-01,12.65
1981-04-01,12.33
1981-05-01,12.40
1981-06-01,12.66
1981-07-01,13.79
1981-08-01,14.18
1981-09-01,14.79
1981-10-01,16.33
1981-11-01,15.06
1981-12-01,15.44
1982-01-01,15.13
1982-02-01,14.48
1982-03-01,13.57
1982-04-01,13.77
1982-05-01,13.35
1982-06-01,13.00
1982-07-01,12.37
1982-08-01,11.11
1982-09-01,10.88
1982-10-01,9.79
1982-11-01,9.39
1982-12-01,10.62
1983-01-01,11.21
1983-02-01,11.33
1983-03-01,10.98
1983-04-01,10.26
1983-05-01,10.26
1983-06-01,9.94
1983-07-01,9.89
1983-08-01,9.87
1983-09-01,9.69
1983-10-01,9.38
1983-11-01,9.30
1983-12-01,9.42
1984-01-01,9.45
1984-02-01,9.38
1984-03-01,8.95
1984-04-01,8.88
1984-05-01,9.40
1984-06-01,9.45
1984-07-01,11.51
1984-08-01,11.07
1984-09-01,10.83
1984-10-01,10.67
1984-11-01,9.91
1984-12-01,9.82
1985-01-01,11.68
1985-02-01,13.78
1985-03-01,13.63
1985-04-01,12.76
1985-05-01,12.66
1985-06-01,12.44
1985-07-01,12.04
1985-08-01,11.50
1985-09-01,11.55
1985-10-01,11.55
1985-11-01,11.57
1985-12-01,11.76
1986-01-01,12.83
1986-02-01,12.67
1986-03-01,11.78
1986-04-01,10.50
1986-05-01,10.21
1986-06-01,9.77
1986-07-01,9.97
1986-08-01,9.86
1986-09-01,10.13
1986-10-01,11.09
1986-11-01,11.19
1986-12-01,11.31
1987-01-01,11.05
1987-02-01,10.82
1987-03-01,9.95
1987-04-01,9.78
1987-05-01,8.82
1987-06-01,8.89
1987-07-01,9.19
1987-08-01,10.05
1987-09-01,10.16
1987-10-01,9.96
1987-11-01,8.94
1987-12-01,8.77
1988-01-01,8.93
1988-02-01,9.27
1988-03-01,8.89
1988-04-01,8.30
1988-05-01,8.03
1988-06-01,8.93
1988-07-01,10.55
1988-08-01,11.40
1988-09-01,12.15
1988-10-01,12.02
1988-11-01,12.33
1988-12-01,13.15
1989-01-01,13.12
1989-02-01,13.02
1989-03-01,13.03
1989-04-01,13.13
1989-05-01,13.14
1989-06-01,14.15
1989-07-01,13.90
1989-08-01,13.85
1989-09-01,14.02
1989-10-01,15.02
1989-11-01,15.11
1989-12-01,15.12
1990-01-01,15.16
1990-02-01,15.11
1990-03-01,15.29
1990-04-01,15.21
1990-05-01,15.15
1990-06-01,14.97
1990-07-01,14.95
1990-08-01,15.00
1990-09-01,14.91
1990-10-01,14.03
1990-11-01,13.64
1990-12-01,13.81
1991-01-01,13.97
1991-02-01,13.25
1991-03-01,12.40
1991-04-01,11.95
1991-05-01,11.53
1991-06-01,11.24
1991-07-01,11.09
1991-08-01,10.89
1991-09-01,10.29
1991-10-01,10.40
1991-11-01,10.48
1991-12-01,10.78
1992-01-01,10.65
1992-02-01,10.37
1992-03-01,10.62
1992-04-01,10.62
1992-05-01,10.06
1992-06-01,9.98
1992-07-01,10.15
1992-08-01,10.35
1992-09-01,9.99
1992-10-01,8.32
1992-11-01,7.21
1992-12-01,7.15
1993-01-01,6.94
1993-02-01,6.16
1993-03-01,5.98
1993-04-01,5.98
1993-05-01,5.97
1993-06-01,5.89
1993-07-01,5.95
1993-08-01,5.84
1993-09-01,5.91
1993-10-01,5.76
1993-11-01,5.57
1993-12-01,5.33
1994-01-01,5.39
1994-02-01,5.22
1994-03-01,5.16
1994-04-01,5.21
1994-05-01,5.17
1994-06-01,5.13
1994-07-01,5.20
1994-08-01,5.53
1994-09-01,5.67
1994-10-01,5.91
1994-11-01,6.06
1994-12-01,6.37
1995-01-01,6.56
1995-02-01,6.75
1995-03-01,6.66
1995-04-01,6.67
1995-05-01,6.72
1995-06-01,6.64
1995-07-01,6.80
1995-08-01,6.79
1995-09-01,6.72
1995-10-01,6.73
1995-11-01,6.64
1995-12-01,6.49
1996-01-01,6.36
1996-02-01,6.16
1996-03-01,6.05
1996-04-01,6.00
1996-05-01,6.02
1996-06-01,5.85
1996-07-01,5.73
1996-08-01,5.75
1996-09-01,5.77
1996-10-01,5.94
1996-11-01,6.30
1996-12-01,6.35
1997-01-01,6.32
1997-02-01,6.19
1997-03-01,6.20
1997-04-01,6.38
1997-05-01,6.45
1997-06-01,6.66
1997-07-01,6.96
1997-08-01,7.15
1997-09-01,7.21
1997-10-01,7.26
1997-11-01,7.54
1997-12-01,7.62
1998-01-01,7.48
1998-02-01,7.46
1998-03-01,7.48
1998-04-01,7.44
1998-05-01,7.41
1998-06-01,7.63
1998-07-01,7.71
1998-08-01,7.66
1998-09-01,7.38
1998-10-01,7.14
1998-11-01,6.89
1998-12-01,6.38
1999-01-01,5.80
1999-02-01,5.43
1999-03-01,5.30
1999-04-01,5.23
1999-05-01,5.25
1999-06-01,5.12
1999-07-01,5.07
1999-08-01,5.18
1999-09-01,5.32
1999-10-01,5.94
1999-11-01,5.78
1999-12-01,5.97
2000-01-01,6.06
2000-02-01,6.15
2000-03-01,6.15
2000-04-01,6.21
2000-05-01,6.23
2000-06-01,6.14
2000-07-01,6.11
2000-08-01,6.14
2000-09-01,6.12
2000-10-01,6.08
2000-11-01,6.00
2000-12-01,5.89
2001-01-01,5.76
2001-02-01,5.69
2001-03-01,5.47
2001-04-01,5.33
2001-05-01,5.17
2001-06-01,5.19
2001-07-01,5.19
2001-08-01,4.93
2001-09-01,4.65
2001-10-01,4.36
2001-11-01,3.93
2001-12-01,3.99
2002-01-01,3.98
2002-02-01,3.98
2002-03-01,4.06
2002-04-01,4.11
2002-05-01,4.08
2002-06-01,4.11
2002-07-01,3.99
2002-08-01,3.92
2002-09-01,3.93
2002-10-01,3.90
2002-11-01,3.91
2002-12-01,3.95
2003-01-01,3.91
2003-02-01,3.69
2003-03-01,3.58
