"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"GBR","CPI","TOT","AGRWTH","M","1980-02",19.10005,
"GBR","CPI","TOT","AGRWTH","M","1980-03",19.75309,
"GBR","CPI","TOT","AGRWTH","M","1980-04",21.75537,
"GBR","CPI","TOT","AGRWTH","M","1980-05",21.90829,
"GBR","CPI","TOT","AGRWTH","M","1980-06",20.99271,
"GBR","CPI","TOT","AGRWTH","M","1980-07",16.93584,
"GBR","CPI","TOT","AGRWTH","M","1980-08",16.28411,
"GBR","CPI","TOT","AGRWTH","M","1980-09",15.86621,
"GBR","CPI","TOT","AGRWTH","M","1980-10",15.40747,
"GBR","CPI","TOT","AGRWTH","M","1980-11",15.31342,
"GBR","CPI","TOT","AGRWTH","M","1980-12",15.12114,
"GBR","CPI","TOT","AGRWTH","M","1981-01",13.04525,
"GBR","CPI","TOT","AGRWTH","M","1981-02",12.45981,
"GBR","CPI","TOT","AGRWTH","M","1981-03",12.60904,
"GBR","CPI","TOT","AGRWTH","M","1981-04",12.03988,
"GBR","CPI","TOT","AGRWTH","M","1981-05",11.74012,
"GBR","CPI","TOT","AGRWTH","M","1981-06",11.32857,
"GBR","CPI","TOT","AGRWTH","M","1981-07",10.89959,
"GBR","CPI","TOT","AGRWTH","M","1981-08",11.47114,
"GBR","CPI","TOT","AGRWTH","M","1981-09",11.39896,
"GBR","CPI","TOT","AGRWTH","M","1981-10",11.69548,
"GBR","CPI","TOT","AGRWTH","M","1981-11",11.96644,
"GBR","CPI","TOT","AGRWTH","M","1981-12",12.04644,
"GBR","CPI","TOT","AGRWTH","M","1982-01",12.00865,
"GBR","CPI","TOT","AGRWTH","M","1982-02",11.0436,
"GBR","CPI","TOT","AGRWTH","M","1982-03",10.35211,
"GBR","CPI","TOT","AGRWTH","M","1982-04",9.411362,
"GBR","CPI","TOT","AGRWTH","M","1982-05",9.486569,
"GBR","CPI","TOT","AGRWTH","M","1982-06",9.161595,
"GBR","CPI","TOT","AGRWTH","M","1982-07",8.717604,
"GBR","CPI","TOT","AGRWTH","M","1982-08",7.951888,
"GBR","CPI","TOT","AGRWTH","M","1982-09",7.275747,
"GBR","CPI","TOT","AGRWTH","M","1982-10",6.848864,
"GBR","CPI","TOT","AGRWTH","M","1982-11",6.25611,
"GBR","CPI","TOT","AGRWTH","M","1982-12",5.408031,
"GBR","CPI","TOT","AGRWTH","M","1983-01",4.92595,
"GBR","CPI","TOT","AGRWTH","M","1983-02",5.342774,
"GBR","CPI","TOT","AGRWTH","M","1983-03",4.626675,
"GBR","CPI","TOT","AGRWTH","M","1983-04",4.003754,
"GBR","CPI","TOT","AGRWTH","M","1983-05",3.695652,
"GBR","CPI","TOT","AGRWTH","M","1983-06",3.654382,
"GBR","CPI","TOT","AGRWTH","M","1983-07",4.179566,
"GBR","CPI","TOT","AGRWTH","M","1983-08",4.611575,
"GBR","CPI","TOT","AGRWTH","M","1983-09",5.140911,
"GBR","CPI","TOT","AGRWTH","M","1983-10",4.992296,
"GBR","CPI","TOT","AGRWTH","M","1983-11",4.84514,
"GBR","CPI","TOT","AGRWTH","M","1983-12",5.3149,
"GBR","CPI","TOT","AGRWTH","M","1984-01",5.124271,
"GBR","CPI","TOT","AGRWTH","M","1984-02",5.102353,
