Date,Open,High,Low,Close,Adj Close,Volume
2001-09-04,15.100000,15.590000,14.900000,15.000000,8.217325,13747300
2001-09-05,14.620000,14.690000,13.440000,13.850000,7.587331,25526900
2001-09-06,13.280000,13.710000,12.900000,12.950000,7.094291,18888100
2001-09-07,12.900000,13.480000,12.700000,13.270000,7.269594,16284100
2001-09-10,13.080000,13.950000,12.960000,13.750000,7.532547,19040300
2001-09-17,14.600000,15.900000,14.520000,15.440000,8.458366,27961500
2001-09-18,15.430000,16.450001,15.150000,15.220000,8.337846,20051700
2001-09-19,16.580000,16.799999,15.300000,16.059999,8.798015,24804900
2001-09-20,15.720000,16.430000,15.660000,15.950000,8.737755,13502800
2001-09-21,14.450000,15.800000,14.150000,15.650000,8.573407,17269100
2001-09-24,16.420000,17.100000,16.340000,17.080000,9.356791,13935800
2001-09-25,16.900000,17.490000,16.600000,17.070000,9.351315,10719400
2001-09-26,16.750000,16.760000,16.080000,16.080000,8.808972,11602400
2001-09-27,15.680000,16.139999,15.260000,15.850000,8.682975,14056000
2001-09-28,15.970000,16.340000,15.560000,15.650000,8.573407,12336300
2001-10-01,15.480000,15.540000,15.100000,15.250000,8.354280,7662600
2001-10-02,15.350000,15.650000,15.000000,15.200000,8.326888,11702900
2001-10-03,14.850000,16.690001,14.750000,16.090000,8.814448,24380800
2001-10-04,16.450001,17.299999,16.209999,16.730000,9.165055,18114400
2001-10-05,16.760000,17.180000,16.650000,16.990000,9.307489,9151100
2001-10-08,16.450001,17.510000,16.430000,17.230000,9.438967,7898700
2001-10-09,17.530001,17.730000,17.000000,17.000000,9.312967,8334200
2001-10-10,17.350000,19.000000,17.330000,18.980000,10.397654,19933900
2001-10-11,19.299999,19.500000,18.610001,19.340000,10.594870,19624600
2001-10-12,18.719999,19.309999,18.500000,18.969999,10.392178,11846600
2001-10-15,18.980000,19.000000,18.410000,18.750000,10.271658,6982900
2001-10-16,19.059999,19.500000,19.010000,19.480000,10.671564,10825600
2001-10-17,20.350000,20.480000,19.209999,19.500000,10.682520,19000800
2001-10-18,19.250000,19.340000,18.500000,18.780001,10.288091,11236000
2001-10-19,19.549999,20.250000,19.510000,20.100000,11.011216,28560700
2001-10-22,20.129999,21.090000,20.100000,20.760000,11.372774,13009500
2001-10-23,21.270000,21.650000,20.930000,21.000000,11.504254,10103300
2001-10-24,21.400000,22.170000,21.299999,22.090000,12.101382,12034500
2001-10-25,20.700001,21.750000,20.400000,21.709999,11.893206,15438600
2001-10-26,21.139999,21.840000,21.139999,21.580000,11.821990,8051500
2001-10-29,21.450001,21.549999,19.990000,20.170000,11.049562,9896300
2001-10-30,20.150000,20.549999,19.900000,20.299999,11.120776,11787500
2001-10-31,20.980000,21.150000,20.299999,20.510000,11.235824,8230500
2001-11-01,20.820000,21.450001,20.510000,21.270000,11.652167,10000700
2001-11-02,21.520000,21.750000,21.309999,21.459999,11.756249,8389900
2001-11-05,21.900000,22.639999,21.879999,22.450001,12.298594,10500600
2001-11-06,22.450001,23.200001,22.200001,23.059999,12.632767,14665100
2001-11-07,22.000000,22.650000,21.959999,22.200001,12.161638,15646800
2001-11-08,22.969999,23.540001,22.170000,22.389999,12.265724,16878700
2001-11-09,22.250000,22.799999,22.000000,22.059999,12.084943,9795400
2001-11-12,21.870001,22.650000,21.309999,22.379999,12.260247,13095700
2001-11-13,23.000000,23.600000,22.940001,23.379999,12.808069,13050200
2001-11-14,24.250000,24.690001,23.750000,24.500000,13.421631,17382000
2001-11-15,24.490000,24.730000,24.010000,24.299999,13.312065,11880200
2001-11-16,25.000000,25.139999,24.530001,24.990000,13.690064,12094400
2001-11-19,25.120001,25.240000,24.209999,24.620001,13.487370,9614600
2001-11-20,23.980000,24.059999,23.299999,23.420000,12.829982,13712500
2001-11-21,23.230000,23.930000,22.940001,23.650000,12.955983,11033600
2001-11-23,24.250000,24.400000,24.000000,24.180000,13.246326,4185600
2001-11-26,25.049999,25.240000,24.700001,25.240000,13.827017,12687900
2001-11-27,23.900000,24.500000,23.190001,23.719999,12.994328,29077800
2001-11-28,22.900000,23.000000,22.010000,22.100000,12.106859,15525400
2001-11-29,22.200001,22.950001,22.110001,22.870001,12.528681,10826300
2001-11-30,23.100000,23.350000,23.000000,23.010000,12.605375,8041400
2001-12-03,22.750000,23.100000,22.600000,22.680000,12.424595,6787400
2001-12-04,23.750000,24.190001,23.500000,24.190001,13.251802,11519600
2001-12-05,24.879999,25.600000,24.389999,25.530001,13.985888,17198400
2001-12-06,25.400000,25.549999,24.750000,24.920000,13.651713,10577900
2001-12-07,25.129999,25.400000,24.299999,24.600000,13.476413,7875300
2001-12-10,24.059999,24.400000,23.650000,23.790001,13.032676,8277600
2001-12-11,25.440001,26.100000,25.299999,25.500000,13.969452,16782000
2001-12-12,25.629999,25.719999,24.879999,25.420000,13.925623,7671500
2001-12-13,24.120001,24.400000,23.559999,23.670000,12.966937,12523400
2001-12-14,24.080000,25.000000,23.910000,24.639999,13.498326,9430900
2001-12-17,24.980000,25.500000,24.969999,25.340000,13.881800,7610200
2001-12-18,25.469999,25.730000,24.620001,25.100000,13.750325,11918100
2001-12-19,24.450001,25.500000,24.230000,24.600000,13.476413,11848100
2001-12-20,24.170000,24.320000,23.299999,23.440001,12.840939,11655000
2001-12-21,24.250000,24.540001,23.860001,24.000000,13.147718,8457400
2001-12-24,23.620001,24.100000,23.549999,23.690001,12.977895,2227500
2001-12-26,23.799999,24.750000,23.760000,24.540001,13.443543,4904500
2001-12-27,24.980000,25.240000,24.600000,24.809999,13.591455,5524800
2001-12-28,25.280001,25.510000,25.010000,25.250000,13.832497,7544600
2001-12-31,25.100000,25.129999,24.400000,24.530001,13.438066,7652700
2002-01-02,25.309999,25.750000,24.900000,25.570000,14.007797,8647900
2002-01-03,25.900000,26.959999,25.900000,26.900000,14.736404,17718300
2002-01-04,26.990000,27.059999,25.900000,26.150000,14.325535,16975500
2002-01-07,26.250000,26.480000,25.100000,25.299999,13.859884,14713800
2002-01-08,24.299999,25.040001,23.570000,23.870001,13.076502,25146600
2002-01-09,24.299999,24.480000,20.059999,22.920000,12.556070,24244100
2002-01-10,23.010000,23.490000,22.830000,23.110001,12.660157,17137900
2002-01-11,23.750000,23.799999,22.770000,22.809999,12.495812,15828000
2002-01-14,22.410000,22.500000,21.299999,21.490000,11.772690,21668200
2002-01-15,22.100000,22.600000,21.920000,22.540001,12.347901,18890000
2002-01-16,22.059999,22.209999,21.520000,21.760000,11.920594,11709400
2002-01-17,22.820000,22.950001,22.309999,22.840000,12.512246,12629800
2002-01-18,22.000000,22.709999,21.830000,22.500000,12.325988,9844900
2002-01-22,21.400000,21.510000,20.750000,21.150000,11.586429,20863100
2002-01-23,21.280001,22.480000,21.260000,22.209999,12.167119,14656800
2002-01-24,23.799999,24.030001,23.299999,23.299999,12.764240,24168600
2002-01-25,22.650000,23.350000,22.500000,23.120001,12.665638,9982100
2002-01-28,23.120001,23.520000,23.010000,23.450001,12.846416,8636900
2002-01-29,23.309999,23.510000,22.459999,22.690001,12.430076,12113300
2002-01-30,22.400000,23.389999,22.080000,23.180000,12.698504,11096600
2002-01-31,23.320000,23.490000,22.959999,23.450001,12.846416,7697500
2002-02-01,23.500000,23.730000,23.250000,23.570000,12.912156,8395400
2002-02-04,23.450001,23.500000,22.629999,22.639999,12.402681,7315600
2002-02-05,22.290001,22.469999,21.170000,21.500000,11.778165,19090400
2002-02-06,21.850000,21.889999,21.280001,21.700001,11.887729,8432200
2002-02-07,22.139999,22.240000,21.549999,21.650000,11.860338,8949500
2002-02-08,21.950001,22.090000,21.260000,22.040001,12.073988,7942800
2002-02-11,22.570000,23.090000,22.459999,22.879999,12.534160,6300300
2002-02-12,22.660000,23.250000,22.500000,22.850000,12.517724,5879600
2002-02-13,22.969999,23.250000,22.809999,23.040001,12.621811,5674400
2002-02-14,23.209999,23.350000,22.360001,22.639999,12.402681,6000200
2002-02-15,22.250000,22.360001,21.600000,21.639999,11.854860,8014600
2002-02-19,21.049999,21.080000,20.000000,20.590000,11.279648,11683400
2002-02-20,20.350000,20.629999,19.200001,20.250000,11.093390,19725300
2002-02-21,20.240000,20.500000,19.530001,19.670000,10.775652,11691200
2002-02-22,19.469999,19.719999,19.270000,19.410000,10.633219,10028000
2002-02-25,20.000000,20.879999,19.980000,20.780001,11.383732,12124700
2002-02-26,21.180000,21.180000,20.490000,20.600000,11.285126,9167400
2002-02-27,21.240000,21.330000,20.559999,20.750000,11.367299,7631200
2002-02-28,21.120001,21.379999,20.700001,20.770000,11.378255,9881300
2002-03-01,20.850000,21.469999,20.750000,21.400000,11.723382,12268600
2002-03-04,22.030001,23.040001,22.000000,23.000000,12.599897,15184700
2002-03-05,22.530001,23.080000,22.400000,22.860001,12.523202,9628700
2002-03-06,22.700001,23.610001,22.680000,23.469999,12.857375,13376400
2002-03-07,24.000000,24.240000,23.510000,23.799999,13.038153,12450900
2002-03-08,24.049999,24.240000,23.850000,24.040001,13.169632,11068400
2002-03-11,23.459999,23.740000,23.250000,23.500000,12.873810,9131700
2002-03-12,22.209999,22.209999,21.690001,22.090000,12.101382,21224900
2002-03-13,22.170000,22.430000,21.600000,21.889999,11.991816,11300200
2002-03-14,21.930000,22.080000,21.760000,21.959999,12.030163,7991600
2002-03-15,22.100000,22.299999,22.010000,22.110001,12.112339,7133500
2002-03-18,22.740000,22.790001,22.219999,22.410000,12.276684,8115200
2002-03-19,22.080000,22.100000,21.610001,21.730000,11.904163,6938300
2002-03-20,21.200001,21.389999,20.770000,20.889999,11.443994,8159000
2002-03-21,21.379999,21.379999,20.610001,21.270000,11.652167,11625300
2002-03-22,21.030001,21.420000,20.930000,21.010000,11.639423,5647100
2002-03-25,21.280001,21.400000,20.750000,20.750000,11.495385,5792800
2002-03-26,20.809999,21.150000,20.500000,20.740000,11.489846,12707800
2002-03-27,20.700001,21.170000,20.700001,21.000000,11.633883,7897400
2002-03-28,21.219999,21.389999,20.700001,20.740000,11.489846,6828500
2002-04-01,20.320000,21.049999,20.219999,20.940001,11.600644,7990700
2002-04-02,20.500000,20.600000,19.959999,19.980000,11.068809,12322400
2002-04-03,20.389999,20.590000,19.959999,20.209999,11.196229,10391300
2002-04-04,20.150000,20.299999,19.750000,20.030001,11.096511,10054900
2002-04-05,20.190001,20.280001,19.770000,19.910000,11.030029,9737600
2002-04-08,19.150000,19.629999,18.930000,19.549999,10.830591,11283500
2002-04-09,19.480000,19.650000,18.799999,18.920000,10.481575,13258600
2002-04-10,18.950001,19.250000,18.799999,19.000000,10.525895,16464600
2002-04-11,18.650000,18.740000,17.600000,17.940001,9.938661,52389200
2002-04-12,18.260000,18.990000,18.180000,18.690001,10.354158,11118100
2002-04-15,19.250000,19.379999,19.000000,19.250000,10.664394,8386700
2002-04-16,20.200001,20.570000,20.090000,20.350000,11.273788,11111600
2002-04-17,20.950001,20.950001,20.200001,20.629999,11.428903,11392700
2002-04-18,18.730000,19.000000,18.000000,18.100000,10.027300,26924100
2002-04-19,17.450001,17.570000,17.230000,17.440001,9.661663,15863900
2002-04-22,16.510000,16.700001,16.160000,16.299999,9.030109,18312800
2002-04-23,16.320000,16.719999,16.129999,16.180000,8.963629,16466300
2002-04-24,16.049999,16.129999,15.570000,15.900000,8.808511,13558400
2002-04-25,16.330000,16.500000,16.059999,16.440001,9.107669,11177200
