Pvä;Korkein;Matalin;Päätös;Keskimääräinen;Kok.volyymi;Liikevaihto
14.1.2008;2819,97;2756,78;2812.99;0;;1134555954
11.1.2008;2800,8;2761,68;2777.68;0;;1329209819
10.1.2008;2880,94;2778,79;2782.26;0;;1316985366
9.1.2008;2886,27;2812,06;2841.1;0;;1474528143
8.1.2008;2914,44;2859,41;2886.55;0;;1557744134
7.1.2008;2949,73;2852,2;2870.55;0;;1538035816
4.1.2008;3024,47;2931,98;2935.39;0;;1445693293
3.1.2008;3018,92;2976,81;3000;0;;1090504689
2.1.2008;3044,87;2995,24;2999.33;0;;846353743
28.12.2007;3015,19;2975,75;3010.11;0;;519215866
27.12.2007;3021,72;2991,31;2997.62;0;;619987450
21.12.2007;2997,87;2931,94;2995.42;0;;1626139465
20.12.2007;2949,81;2928,99;2931.83;0;;1255337774
19.12.2007;2955,3;2914,12;2929.54;0;;992551076
18.12.2007;2974,78;2918,54;2943.84;0;;1282585094
17.12.2007;3032,98;2952,16;2958.5;0;;1160621646
14.12.2007;3060,91;3001,02;3033.48;0;;836304451
13.12.2007;3116,94;3030,28;3036.29;0;;1184870880
12.12.2007;3128,88;3072,08;3117.44;0;;1193643608
11.12.2007;3150,51;3120,15;3128.54;0;;884385535
10.12.2007;3138,84;3105,53;3131.11;0;;920023296
7.12.2007;3136,14;3070,92;3127.17;0;;1340365912
5.12.2007;3078,61;3024,55;3072.26;0;;1079543246
4.12.2007;3099,77;3018,9;3023.96;0;;1776950072
3.12.2007;3134,44;3091,69;3096.87;0;;1166985304
30.11.2007;3138,74;3086,63;3121.32;0;;1345493564
29.11.2007;3105,38;3056,56;3086.87;0;;1262128796
28.11.2007;3069,89;2962,29;3065.72;0;;1596834081
27.11.2007;3024,58;2957,01;2981.97;0;;1297228928
26.11.2007;3090,33;3006,19;3028.27;0;;1178756466
23.11.2007;3022,41;2976,65;3005.76;0;;890860854
22.11.2007;3021,21;2971,45;2977.62;0;;903624821
21.11.2007;3083,11;2971,69;2985.38;0;;1514655942
20.11.2007;3086,45;2999,69;3083.24;0;;1553768065
19.11.2007;3144,78;3028,26;3031.38;0;;1249540070
16.11.2007;3137,43;3084,83;3106.56;0;;1216098227
15.11.2007;3191,52;3112,23;3139.52;0;;1121678666
14.11.2007;3228,33;3173,5;3188.68;0;;1399738673
13.11.2007;3190,64;3121,12;3173.46;0;;1401951208
12.11.2007;3227,63;3172,06;3190.77;0;;1194008591
9.11.2007;3313,13;3207,84;3218.03;0;;1574220234
8.11.2007;3334,41;3267,91;3292.02;0;;1757867032
7.11.2007;3379,8;3316;3333.8;0;;2007638049
6.11.2007;3362,02;3312,78;3349.84;0;;1455576063
5.11.2007;3337,42;3299,74;3312.22;0;;1037234066
2.11.2007;3347,78;3300,14;3337.75;0;;1338724315
1.11.2007;3390,73;3311,19;3339.31;0;;1606106535
31.10.2007;3361,01;3315,03;3356.3;0;;1415163058
30.10.2007;3351,47;3319,24;3330.77;0;;1242479858
29.10.2007;3347,02;3294,39;3330.72;0;;1312933605
26.10.2007;3330,22;3268,87;3294.69;0;;1531270169
25.10.2007;3306,75;3243,48;3288.28;0;;1849605876
24.10.2007;3291,06;3244,06;3244.21;0;;1697725441
23.10.2007;3262,64;3192,34;3246.28;0;;1511531652
22.10.2007;3258,29;3186,66;3192.56;0;;1563323211
19.10.2007;3297,62;3248,03;3258.6;0;;1617721276
18.10.2007;3284,17;3245,45;3260.57;0;;4652036849
17.10.2007;3255,07;3210,05;3251.05;0;;1953603527
16.10.2007;3239,44;3190,29;3210.56;0;;2778014723
15.10.2007;3308,26;3239,42;3239.88;0;;1327372642
12.10.2007;3328,28;3277,88;3301.6;0;;1362171561
11.10.2007;3332,12;3294,82;3328.28;0;;1843727708
10.10.2007;3304,62;3280,94;3294.82;0;;1323800727
9.10.2007;3297,47;3255,53;3297.05;0;;1321691319
8.10.2007;3297,14;3269,29;3269.88;0;;1064740513
5.10.2007;3292,29;3258,02;3278.15;0;;1456006724
